timestamp,tweet_text,username,all_hashtags,followers_count,favorite_count,retweets_count,length_of_tweet
2020-06-22 17:38:37,"b""#CCP is destroying a region that was economically beneficial to #China too in order to preserve its strongman image.The threat of #CCP hostility is real for #SouthChinaSea, #India and the entire world! It really is time to wake up and take action to stop China's expansionism. https://t.co/WwjSn0Jngo""",b'MaiHuongGV',"['CCP', 'China', 'CCP', 'SouthChinaSea', 'India']",64,0,0,300
2020-06-22 17:38:35,"b'@TimesNow @INCIndia Ridiculous of u to say a pro-China lobby exists in #India @RShivshankar .... There may be difference of opinions and political rivalry; but shouting on National Tv that any Indian, especially ppl that held ministries; of being anti-India and pro-Enemy country is pathetic.'",b'RohitAarrya',['India'],91,0,0,292
2020-06-22 17:37:58,b'@globaltimesnews #EU is against #CCP_is_terrorist#US is against #CCP#India is giving bloody nose and breaking necks of low Moral coward #PLA#Taiwan is chasing China away#HongKong is giving bloody nose#Russia selling deadly weapon to #India#China citizens fighting with #CCPAny Shame Left?',b'UsaKapil',"['EU', 'CCP_is_terrorist', 'US', 'CCP', 'India', 'PLA', 'Taiwan', 'HongKong', 'Russia', 'India', 'China', 'CCP']",1179,0,0,288
2020-06-22 17:37:19,b'#China #India Corps cdr meeting lasted over 10 hours and is now over.#LadakhBorder https://t.co/VIuAPHzHnj',b'Yellow34950210',"['China', 'India', 'LadakhBorder']",248,0,0,106
2020-06-22 17:37:19,"b""#Realdeal Romil Barthwal you've been contributing to a better #India and world at large. Keep them coming! https://t.co/lOyDPMZmES""",b'ashoksuyal',"['Realdeal', 'India']",218,0,0,130
2020-06-22 17:37:18,b'Keep Riding \xf0\x9f\x9a\xb4\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8a#cyclinglife #Athlete #AdilTeli #MotivationalMonday #fitness #cyclist #india #Pakistan #cyclingtraining #sports https://t.co/ULwsuDuB23',b'ImAdilteli',"['cyclinglife', 'Athlete', 'AdilTeli', 'MotivationalMonday', 'fitness', 'cyclist', 'india', 'Pakistan', 'cyclingtraining', 'sports']",81,1,0,161
2020-06-22 17:37:16,"b'Lincode Labs has also designed SMAARC (Smart Manufacturing, AI, AR, and Robotics Consortium), an ecosystem of industrial partners, to scale-up the future of manufacturing technology and innovation. #startupslist #startupindia #india #startups #entrepreneur https://t.co/9zig0pLSer'",b'liststartups',"['startupslist', 'startupindia', 'india', 'startups', 'entrepreneur']",154,0,0,280
2020-06-22 17:37:14,b'#Shocking: 7 #COVID19 positive cases in tests by #CricketSouthAfrica! #CSA #SouthAfrica #COVID #coronavirus #India #Cricket #GalattaCareshttps://t.co/iPu1k2oR1f',b'galattadotcom',"['Shocking', 'COVID19', 'CricketSouthAfrica', 'CSA', 'SouthAfrica', 'COVID', 'coronavirus', 'India', 'Cricket', 'GalattaCares']",200130,3,1,160
2020-06-22 17:37:13,"b""#Nepal has been a peaceful nation like its neighbour #India but #CCPChina is using coercive means to influence #Nepal and exert pressure on #Indian borders. Now I think world understands what #CCPChina can achieve through #BRI's #DebtTrap. https://t.co/qXfko89q5p""",b'savory_allan',"['Nepal', 'India', 'CCPChina', 'Nepal', 'Indian', 'CCPChina', 'BRI', 'DebtTrap']",41,1,0,263
2020-06-22 17:36:11,b'Go for a drive? ...#ontheroad #road #india #world #wanderlust #djthewanderer #nightphotography #canon #canon1500d #canonasia #canonindia #djsyear2020pics #\xe0\xaa\xb0\xe0\xaa\x96\xe0\xaa\xa1\xe0\xaa\xaa\xe0\xaa\x9f\xe0\xab\x8d\xe0\xaa\x9f\xe0\xab\x80 #\xe0\xaa\x97\xe0\xab\x81\xe0\xaa\x9c\xe0\xab\x8d\xe0\xaa\x9c\xe0\xab\x81\xe0\xaa\x9b\xe0\xab\x8b\xe0\xaa\x95\xe0\xaa\xb0\xe0\xab\x80 https://t.co/opCJGU5Cgy',b'dharagohil',"['ontheroad', 'road', 'india', 'world', 'wanderlust', 'djthewanderer', 'nightphotography', 'canon', 'canon1500d', 'canonasia', 'canonindia', 'djsyear2020pics', 'રખડપટ્ટી', 'ગુજ્જુછોકરી']",300,0,0,238
2020-06-22 17:36:08,"b""@Dikshadoodle @troll18434284 @MeghUpdates You're absolutely correct. #Russia will want to be neutral but may not have a choice if #China is engaged in a 3-front war. It will attempt to neutralize #Japan with Russia &amp; #India with #Pakistan.""",b'TJamaati',"['Russia', 'China', 'Japan', 'India', 'Pakistan']",80,1,0,243
2020-06-22 17:35:58,b'Check out the The top five global concerns.The\xc2\xa0highest levels of concern about #unemployment that have been hardest hit by #Covid_19 in some countries.The government will have to take some unconscionable steps or else this rate can increase rapidly in #India too. Source :@wef https://t.co/ggE6M8rbSo',b'im_parth13',"['unemployment', 'Covid_19', 'India']",416,1,0,301
