,timestamp,tweet_text,username,all_hashtags,followers_count,favorite_count,retweets_count,length_of_tweet
68,2020-06-22 17:30:02,: Defence Minister Rajnath Singh reached Moscow this evening on a three-day visit. Minister will hold talks on ways to further deepen the -Russia defence and strategic partnership. He will also attend the 75th Victory Day Parade in . ,AmgepM,"['Russia', 'India', 'Moscow']",16,14,7,234
69,2020-06-22 17:30:00,'s recent moves to heat up confrontation with China were largely for political reasons any further escalation would be a suicide path for Indias economic development: expert ,GlobalTimesBiz,['India'],12312,0,0,174
70,2020-06-22 17:30:00,    Investment Ideas   ,equityin,"['Equity', 'Markets', 'India', 'equityin']",1804,0,0,23
71,2020-06-22 17:30:00,"'s coronavirus caseload skyrocketed by a record 15,000 as migrant workers left major cities and returned to rural villages.  ",Saudi_Gazette,['India'],159048,10,4,125
72,2020-06-22 17:29:51,A commander level meeting held BTW India and China.        ,baidaar_times,"['India', 'IndiaChinaBorder', 'LadakhBorder', 'LadakhFaceOff', 'PakistanArmy', 'PakistanNeedsNawazSharif', 'Pakistan']",70,0,0,59
73,2020-06-22 17:29:18,The  shifted attention away from  domestic turmoil ,tbsnewsdotnet,"['Galwan_conflict', 'India']",461,0,0,51
74,2020-06-22 17:28:31,"From a young men of the youngest state of  and a jobless.I request  sir,to give another moratorium period for the emi of all major credit cards,loans,and re-payments.As this pandemic is over is all. People like me cannot even pay it!people are been bankrupt! help. ",Mohsin6050Ali,['India'],0,0,0,265
75,2020-06-22 17:28:08,"   INDIA: Delhi reports 2,909 new cases of coronavirus, 62,655 cases in total. 2,233 deaths, 36,602 recovered.",Nationalisticin,"['india', 'delhi', 'covid19']",0,0,0,110
76,2020-06-22 17:28:00, Same this require for whole country  as this   infection rising abnormally day by day everywhere..,joyb37,"['India', 'COVID19', 'coronavirus']",905,0,0,99
77,2020-06-22 17:27:37,How long more to wait for the  to cover  n rest of the world   ,Kirankumar_P,"['AppleMaps', 'India', 'iOS14', 'WWDC2020']",84,0,0,63
78,2020-06-22 17:27:30,"   Obviously, it does brother. Like my Uttarakhand belongs to the people of Uttarakhand. But if I say it doesn't belong to the rest of India, I should be thrown out of the country  I hope u get it. Each n every inch of India belongs to Indians. States  UTs come later.",mayankaddiction,['India'],19,0,0,268
79,2020-06-22 17:26:13,"Lol,  has opened its market to  right after they threw  out and asked for  enquiry. It's China that is suffering from an inferiority complex and dilemma of being left alone. Time is running out for CCP not the world democracies! ",akashgupta646,"['India', 'Australia', 'China', 'COVID19']",221,0,0,229
80,2020-06-22 17:25:49,"Its  , not     ",aana_2210,"['Bihar', 'Regiment', 'Biharis', 'IndianArmy', 'India']",206,1,1,15
81,2020-06-22 17:25:29,"     gifted CORONA to the whole world. gifted YOGA to the whole world.Difference is in basics of life  culture.  wants to kill the world  India meditate the world. captures other countries territory,  helps other countries to establish democracy.",bharath_53,"['china', 'INDIA', 'china', 'China', 'India']",21,0,0,246
82,2020-06-22 17:24:57,Who all are awake in India to follow the realtime updates from  ?    ,zentosh,"['WWDC20', 'Apple', 'AppleFanBoys', 'India']",517,0,0,69
83,2020-06-22 17:24:11,Click this link.                                ,Muhamma95178049,"['london', 'jobs', 'uk', 'food', 'work', 'staff', 'ZARA', 'uber', 'eat', 'LondonBridge', 'Sales', 'vacancy', 'need', 'money', 'people', 'office', 'wage', 'looking', 'boris', 'COVID19', 'money', 'Netflix', 'india', 'pakistan', 'Paris', 'Canada', 'birthday', 'free', 'help', 'IZONE', 'NHSJobs', 'job']",0,2,0,48
84,2020-06-22 17:23:53,War Dikhao Yaar   We have Never Seen This,_aa_1218,"['India', 'China']",16,0,0,41
85,2020-06-22 17:23:50,Wow watch to know about  at . Lots of us in  dint know this much of a complications in resolving border issues between  and . Very complex and good to know Indian Army is standing firmly and giving nice response Respect  ,USIndoPacific,"['IndoChinaFaceoff', 'GalwanValley', 'US', 'India', 'China']",811,13,1,221
86,2020-06-22 17:23:44,How she looks - She is an angel from heaven                         ,Maniya44,"['Angel', 'Vijay', 'Rajini', 'Ajith', 'AnushkaShetty', 'Anushka', 'Sweety', 'Maniya44', 'ExcelPlanet', 'beauty', 'movie', 'Good', 'TrendingNow', 'Trending', 'India', 'asia', 'AnushkaMyLife', 'WhatsAppStatus', 'TamilSong', 'Song', 'chinaindiaborder', 'HBDVijay', 'Love']",68,0,0,68
87,2020-06-22 17:23:40, strong-arm action at  sent a clear message to  as well as  other antagonists that its long-held policy to maintain status quo in its border  maritime disputes should not be taken for granted.   ,Matrixxmedia,"['China', 'LadakhBorder', 'India', 'Beijing']",62933,4,1,195
88,2020-06-22 17:23:36,22/6/2020  - Covid Status10:50pm Update ,traphikp,['India'],2095,17,4,40
89,2020-06-22 17:23:31,Make your dream of eating in coach cafe come true!Rail Coah Cafe inaugurated at  Rail Museum adding one more attaraction to Rail Museum        ,SWRRLY,"['Mysuru', 'India', 'IndianRailways', 'Karnataka', 'IndiaFightsCoronavirus', 'MysuruRailmuseum', 'Heritage', 'museum']",38116,5,1,143
90,2020-06-22 17:23:02,India will be on the top in internet usage by 2025           ,newsteamz,"['India', 'Indian', 'networking', 'network', 'NETWORKMARKETING', 'networks', 'networksecurity', 'networkheroes', 'BREAKING', 'BreakingNews', 'Breaking_News']",1,1,0,61
91,2020-06-22 17:22:36,"  agent  now p.m of  and he started chinese propaganda, against ",ashish6475,"['chinese', 'oli', 'nepal', 'divideandrule', 'india']",37,0,0,64
92,2020-06-22 17:22:31,"Mark was thinking that it was time to take revenge on  of 71 and he was happy in his heart. He was warmly received in , the special guest of the  who was second to none in flying the  made  30.    ",GHaZ_NAwE77,"['Pakistan', 'India', 'IndianAirForce', 'Russian', 'SU', 'PAF', 'PakistanAirForce', 'PakistanZindabad']",3734,13,5,197
93,2020-06-22 17:22:11, must be probed and agreement should be seized by govt.  doesn't have trust in  and his family. The family party  deal with  might be compromising with  . May be that is the reason  taking  side.,WordOfPrabhakar,"['SoniaChinaDeal', 'India', 'CPC', 'NationalSecurity', 'Congress', 'China']",76,0,0,195
94,2020-06-22 17:21:45," abstains from  Commission on  vote for draft Resolution L23 condemning  for its treatment of . 37 votes in favor, 2 against and 8 abstentions.  is among 37 Yes votes. ",haqsmusings,"['India', 'UN', 'HumanRights', 'Myanmar', 'Rohingya', 'Pakistan']",2449,4,0,168
95,2020-06-22 17:21:38,  It is an healthy practice which should be adhered to  motivated all over in this critical context where the  is raising its ugly head once again to to play havoc in   world over too in its bid  for  second innings after a successful  crippling first innings.,AtthiDevarajan,"['pandemic', 'India']",629,1,1,260
96,2020-06-22 17:21:32,"""The Importance of India""by        ://t.co/mMXeWPKLtE",usdetour,"['india', 'china', 'democracy', 'geopolitics', 'population', 'history', 'future', 'MadeInIndia']",309,0,1,53
97,2020-06-22 17:21:04,Follow me on      ,silver_mistt,"['instagram', 'India', 'fashionblogger', 'fashion']",40,1,0,18
98,2020-06-22 17:20:50,A 2020 survey shows that  is the founder of . Just for your information that  has provided medicines to 55 countries.  world realizes that china is greedy. It grabs good things from others and gifts bad things in return.,IndiaisIndia007,"['China', 'CoronaVirus', 'India']",14477,1,3,220
99,2020-06-22 17:20:15,"This title holds in its pages the very essence of , its people and its culture, conveyed through a selection of  and a  by a few of the best authors of India.  ",IndieBookButler,"['India', 'shortstories', 'memoir']",114938,0,0,160
